Motif ID	1	2	3	4	5	6	7	8
M0371_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0372_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0373_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0374_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0375_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0376_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0377_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0378_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0581_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0582_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0587_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0589_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0591_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0647_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0649_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0650_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0651_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0652_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0653_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0655_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0656_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0657_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0665_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0677_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0680_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0681_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0682_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0683_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0684_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0760_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0761_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0763_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0764_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0765_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0766_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0767_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0768_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0769_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0770_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0771_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0790_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0821_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0840_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0841_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0842_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0843_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0844_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0845_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0846_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0847_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0849_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0850_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0851_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0852_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0855_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1107_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1108_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1195_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1210_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1211_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1274_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1275_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1276_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1277_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1282_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1287_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1290_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1291_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1292_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M1293_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
